path                                                                        , name                                                    , original                                           , subject_1      , subject_2   , subject_3, subject_4, subject_5, century, author    , prov , ID_vol         , number, P_Page, A_Art, P.01, P.02, A.01, A.02, A.03, A.04, A.05, A.06, A.07, A.08, Text, Fig, Deco, Mus, Let, annotation_id, id  , P_Page_annotation, A_Art_annotation, P.01_annotation, P.02_annotation, A.01_annotation, A.02_annotation, A.03_annotation, A.04_annotation, A.05_annotation, A.06_annotation, A.07_annotation, A.08_annotation, Text_annotation, Fig_annotation, Deco_annotation, Mus_annotation, Let_annotation, category, subclass           , labels   , ID_GFN, id_slice, id_cluster, id_ring
P_Page/P.01_Manuscript/P.01_Fig_14BFLoC-94.jpg                              , P.01_Fig_14BFLoC-94.jpg                                 , P.01_Fig_14BFLoC-94                                , Fig            ,             ,          ,          ,          ,      14, BF        , LoC  , 14BFLoC        ,     94,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    1,   0,   1,          7387, 5046,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               1,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_1_0_0,       ,        0,          7,       2
P_Page/P.02_Print/P.02_Text_15ATLoC-018.jpg                                 , P.02_Text_15ATLoC-018.jpg                               , P.02_Text_15ATLoC-018                              , Text           ,             ,          ,          ,          ,      15, AT        , LoC  , 15ATLoC        ,     18,      1,     0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,              ,     ,                 1,                0,               0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              0, 1_0     , 0_1_0_0_0_0_0_0_0_0, 1_0_0_0_0,       ,        0,          0,       3
P_Page/P.01_Manuscript/P.01_MeB_14AfPHarv-02.jpg                            , P.01_MeB_14AfPHarv-02.jpg                               , P.01_MeB_14AfPHarv-02                              , MeB            ,             ,          ,          ,          ,      14, AfP       , Harv , 14AfPHarv      ,      2,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   1,    1,   0,   0,          7388, 5048,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               1,              0,              1, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_1_0_1,       ,        2,          2,       2
P_Page/P.01_Manuscript/P.01_Text_14CDLoC-031.jpg                            , P.01_Text_14CDLoC-031.jpg                               , P.01_Text_14CDLoC-031                              , Text           ,             ,          ,          ,          ,      14, CD        , LoC  , 14CDLoC        ,     31,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_0_0_0_0,       ,        0,          0,       2
P_Page/P.01_Manuscript/P.01_Deco_14BF4LoC-030.jpg                           , P.01_Deco_14BF4LoC-030.jpg                              , P.01_Deco_14BF4LoC-030                             , Deco           ,             ,          ,          ,          ,      14, BF4       , LoC  , 14BF4LoC       ,     30,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,   1,   0,          7389, 5050,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,              0,               1,              1,              1, 1_0     , 1_0_0_0_0_0_0_0_0_0, 0_0_1_1_1,       ,        1,          0,       2
P_Page/P.01_Manuscript/P.01_Mus_12JdT1LoC-041.jpg                           , P.01_Mus_12JdT1LoC-041.jpg                              , P.01_Mus_12JdT1LoC-041                             , Mus            ,             ,          ,          ,          ,      12, JdT1      , LoC  , 12JdT1LoC      ,     41,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,   1,   0,          7390, 5051,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,              0,               1,              1,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 0_0_1_1_0,       ,        3,          0,       1
P_Page/P.02_Print/P.02_Text_17JJSSzB-15.jpg                                 , P.02_Text_17JJSSzB-15.jpg                               , P.02_Text_17JJSSzB-15                              , Text           ,             ,          ,          ,          ,      17, JJS       , SzB  , 17JJSSzB       ,     15,      1,     0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,              ,     ,                 1,                0,               0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              0, 1_0     , 0_1_0_0_0_0_0_0_0_0, 1_0_0_0_0,       ,        0,          0,       4
P_Page/P.01_Manuscript/P.01_Text_14SdVLoC-147.jpg                           , P.01_Text_14SdVLoC-147.jpg                              , P.01_Text_14SdVLoC-147                             , Text           ,             ,          ,          ,          ,      14, SdV       , LoC  , 14SdVLoC       ,    147,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_0_0_0_0,       ,        0,          0,       2
P_Page/P.01_Manuscript/P.01_Deco_14MpbDLoC-027.jpg                          , P.01_Deco_14MpbDLoC-027.jpg                             , P.01_Deco_14MpbDLoC-027                            , Deco           ,             ,          ,          ,          ,      14, MpbD      , LoC  , 14MpbDLoC      ,     27,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    1,   0,   1,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               1,              0,              1, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_0_1_0_1,       ,        1,          0,       2
P_Page/P.01_Manuscript/P.01_S(Jo)Knight_13Anmet-06.jpeg                     , P.01_S(Jo)Knight_13Anmet-06.jpeg                        , P.01_S(Jo)Knight_13Anmet-06                        , S(Jo)sto       ,             ,          ,          ,          ,      13, An        , met  , 13Anmet        ,      6,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   1,    0,   0,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               0,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_0_0_0,       ,        5,          1,       1
P_Page/P.02_Print/P.02_Deco_15ATLoC-372.jpg                                 , P.02_Deco_15ATLoC-372.jpg                               , P.02_Deco_15ATLoC-372                              , Deco           ,             ,          ,          ,          ,      15, AT        , LoC  , 15ATLoC        ,    372,      1,     0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,          7391, 5056,                 1,                0,               0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               1,              0,              0, 1_0     , 0_1_0_0_0_0_0_0_0_0, 1_0_1_0_0,       ,        1,          0,       3
P_Page/P.01_Manuscript/P.01_Dan_14BdE2LoC-170.jpg                           , P.01_Dan_14BdE2LoC-170.jpg                              , P.01_Dan_14BdE2LoC-170                             , Pro(Dan)       ,             ,          ,          ,          ,      14, BdE2      , LoC  , 14BdE2LoC      ,    170,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    1,   0,   1,          7392, 5057,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               1,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_1_0_0,       ,        2,          1,       2
P_Page/P.01_Manuscript/P.01_Mus_14BF2LoC-051.jpg                            , P.01_Mus_14BF2LoC-051.jpg                               , P.01_Mus_14BF2LoC-051                              , Mus            ,             ,          ,          ,          ,      14, BF2       , LoC  , 14BF2LoC       ,     51,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,   1,   0,          7393, 5058,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,              0,               0,              1,              1, 1_0     , 1_0_0_0_0_0_0_0_0_0, 0_0_0_1_1,       ,        3,          0,       2
P_Page/P.01_Manuscript/P.01_Deco_14GvCCeuUBL-07.jpeg                        , P.01_Deco_14GvCCeuUBL-07.jpeg                           , P.01_Deco_14GvCCeuUBL-07                           , Deco           ,             ,          ,          ,          ,      14, GvCC      , euUBL, 14GvCCeuUBL    ,      7,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    1,   0,   1,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               1,              0,              1, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_0_1_0_1,       ,        1,          0,       2
P_Page/P.02_Print/P.02_Deco_16RBmet.jpeg                                    , P.02_Deco_16RBmet.jpeg                                  , P.02_Deco_16RBmet                                  , Deco           ,             ,          ,          ,          ,      16, RB        , met  , 16RBmet        ,      0,      1,     0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,   1,    0,   0,   0,          7394, 5060,                 1,                0,               0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               1,              0,              0, 1_0     , 0_1_0_0_0_0_0_0_0_0, 1_0_1_0_0,       ,        1,          0,       4
P_Page/P.02_Print/P.02_Text_16AlQasLoC-019.jpg                              , P.02_Text_16AlQasLoC-019.jpg                            , P.02_Text_16AlQasLoC-019                           , Text           ,             ,          ,          ,          ,      16, AlQas     , LoC  , 16AlQasLoC     ,     19,      1,     0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   1,              ,     ,                 1,                0,               0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              1, 1_0     , 0_1_0_0_0_0_0_0_0_0, 1_0_0_0_1,       ,        0,          0,       4
