Subject_ITA                                                       , Subject                                                        , Sigla           , Cat, Sub_Cat, Class, Sub_Class, Sub_Class-1, Iconclass                     , Ordinare, Cluster, Section        , Getty    , Getty_2
Fotografia                                                        , Photography                                                    , Photo           ,   4,      48, 48C  ,         6, 48C6       , 48C61                         , 48C61   , 8_1    , Figure         ,          ,          
Musica_rappresentazioni_simboliche_Musica_Ripa                    , Music_symbolic_representations_Musica_Ripa                     , Music           ,   4,      48, 48C  ,         7, 48C7       , 48C70                         , 48C70   , 9_2    , Personification,          ,          
compositore                                                       , Composer                                                       , Composer        ,   4,      48, 48C  ,         7, 48C7       , 48C71                         , 48C71   , 8_5    , Genre          ,          ,          
musicista                                                         , Musician                                                       , Musician        ,   4,      48, 48C  ,         7, 48C7       , 48C72                         , 48C72   , 8_5    , Genre          ,          ,          
strumenti_musicali_gruppo_di_strumenti_musicali                   , Musical_instruments                                            , Instrument      ,   4,      48, 48C  ,         7, 48C7       , 48C73                         , 48C73   , 10_4   , Object         ,          ,          
Pianoforte                                                        , Pianoforte                                                     , PianoF          ,   4,      48, 48C  ,         7, 48C7       , 48C7333                       , 48C7333 , 10_4   , Object         ,          ,          
Organo                                                            , Organ                                                          , Organ           ,   4,      48, 48C  ,         7, 48C7       , 48C7334                       , 48C7334 , 10_4   , Object         ,          ,          
notazione_di_musica                                               , Notation_of_music                                              , Mus             ,   4,      48, 48C  ,         7, 48C7       , 48C74                         , 48C74   , 1_3    , Mus            ,          ,          
Menestrello                                                       , Minstrel                                                       , Minstrel        ,   4,      48, 48C  ,         7, 48C7       , 48C75621                      , 48C75621, 8_5    , Genre          ,          ,          
Il_balletto                                                       , The_ballet                                                     , Ballet          ,   4,      48, 48C  ,         8, 48C8       , 48C84                         , 48C8    , 8_5    , Genre          ,          ,          
Ballerini                                                         , Dancer                                                         , Dancer          ,   4,      48, 48C  ,         8, 48C8       , 48C842                        , 48C8    , 8_5    , Genre          ,          ,          
Scrittore_poeta_autore                                            , Writer_poet_author                                             , Writer          ,   4,      48, 48C  ,         9, 48C9       , 48C91                         , 48C9    , 8_5    , Genre          ,          ,          
Scrittore_poeta_autore                                            , Writer_poet_author                                             , Scriba          ,   4,      48, 48C  ,         9, 48C9       , 48C91                         , 48C9    , 8_5    , Genre          ,          ,          
Scrittore_poeta_autore                                            , Writer_poet_author                                             , Poet            ,   4,      48, 48C  ,         9, 48C9       , 48C91                         , 48C9    , 8_5    , Genre          ,          ,          
educazione                                                        , Education                                                      , Edu             ,   4,      49, 49A  ,          , 49A        , 49A                           , 49A     , 9_2    , Personification,          ,          
università                                                        , university                                                     , University      ,   4,      49, 49B  ,         4, 49B4       , 49B4                          , 49B     , 9_2    , Personification,          ,          
filosofia                                                         , philosophy                                                     , Philosophy      ,   4,      49, 49C  ,         2, 49C2       , 49C2                          , 49C2    , 9_2    , Personification,          ,          
studioso_filosofo                                                 , scholar_philosopher                                            , Philosopher     ,   4,      49, 49C  ,         3, 49C3       , 49C3                          , 49C3    , 8_5    , Genre          ,          ,          
